run_dir,experiment_name,dataset,iid,alpha,aggregation,attack_type,malicious_ratio,num_rounds,final_clean_accuracy,best_clean_accuracy,final_test_loss,final_backdoor_asr,final_rejection_rate,final_tpr,final_fpr,final_f1,chain_valid,total_time
experiments_b_journal\ext_flame_cifar10_iid_norm_filter_s44_20260614_221339,ext_flame_cifar10_iid_norm_filter_s44,CIFAR10,True,0.5,norm_filter,backdoor,0.2,120,84.33,84.8,0.4933265094280243,1.0471204188481675,20.0,1.0,0.0,1.0,True,1909.8031485000101
experiments_b_journal\ext_flame_cifar10_iid_proposed_s42_20260615_004032,ext_flame_cifar10_iid_proposed_s42,CIFAR10,True,0.5,proposed,backdoor,0.2,120,82.6,83.73,0.5796050546646118,0.9598603839441536,20.0,1.0,0.0,1.0,True,1881.3782691000088
experiments_b_journal\ext_flame_cifar10_iid_proposed_s43_20260615_011157,ext_flame_cifar10_iid_proposed_s43,CIFAR10,True,0.5,proposed,backdoor,0.2,120,84.37,84.68,0.5047358155727386,1.7452006980802792,20.0,1.0,0.0,1.0,True,1874.6462117999909
experiments_b_journal\ext_flame_cifar10_iid_proposed_s44_20260615_014316,ext_flame_cifar10_iid_proposed_s44,CIFAR10,True,0.5,proposed,backdoor,0.2,120,83.52,84.17,0.5544506071090698,0.9598603839441536,20.0,1.0,0.0,1.0,True,1881.3972924999835
experiments_b_journal\ext_flame_cifar10_noniid_fedavg_s42_20260615_021441,ext_flame_cifar10_noniid_fedavg_s42,CIFAR10,False,0.5,fedavg,backdoor,0.2,120,75.09,75.42,0.721310950756073,3.7521815008726005,0.0,0.0,0.0,0.0,True,2147.2142083999934
experiments_b_journal\ext_flame_cifar10_noniid_fedavg_s43_20260615_025036,ext_flame_cifar10_noniid_fedavg_s43,CIFAR10,False,0.5,fedavg,backdoor,0.2,120,64.87,66.53,1.0188378774642943,14.485165794066317,0.0,0.0,0.0,0.0,True,2164.1686256999965
experiments_b_journal\ext_flame_cifar10_noniid_fedavg_s44_20260615_032644,ext_flame_cifar10_noniid_fedavg_s44,CIFAR10,False,0.5,fedavg,backdoor,0.2,120,74.27,74.27,0.7279446790695191,5.671902268760907,0.0,0.0,0.0,0.0,True,2164.430856699997
experiments_b_journal\ext_flame_cifar10_noniid_flame_s42_20260615_121301,ext_flame_cifar10_noniid_flame_s42,CIFAR10,False,0.5,flame,backdoor,0.2,120,50.18,57.64,1.3251921146392822,36.82373472949389,0.0,0.0,0.0,0.0,True,2855.7801836
experiments_b_journal\ext_flame_cifar10_noniid_flame_s43_20260615_130043,ext_flame_cifar10_noniid_flame_s43,CIFAR10,False,0.5,flame,backdoor,0.2,120,29.76,52.51,1.7283309608459472,71.02966841186736,0.0,0.0,0.0,0.0,True,2861.1715912999935
experiments_b_journal\ext_flame_cifar10_noniid_flame_s44_20260615_134831,ext_flame_cifar10_noniid_flame_s44,CIFAR10,False,0.5,flame,backdoor,0.2,120,10.0,59.16,5.486979431915283,100.0,70.0,0.0,0.875,0.0,True,2807.6833977000206
