synthetic_clients,validator_count,threshold,proposal_type,byzantine_validators,dropout_rate,bandwidth_mbps,rtt_ms,trials,valid_finalization_rate,invalid_rejection_rate,invalid_acceptance_rate,timeout_rate,mean_finality_ms,p95_finality_ms,mean_available_validators,mean_messages_per_round,mean_committee_kb_per_round
10,5,3,valid,3,0.0,100.0,10.0,500,1.0,0.0,0.0,0.0,11.500472924803974,12.738821019576044,5,6,64.34358723958333
10,5,3,invalid,3,0.0,100.0,10.0,500,0.0,0.0,1.0,0.0,12.547762570508269,13.39732433556317,5,6,64.34358723958333
10,5,3,valid,0,0.1,100.0,10.0,500,0.99,0.0,0.0,0.01,31.60016905666322,13.151592969083811,4.474,5.474,57.57464186197917
10,5,3,invalid,0,0.1,100.0,10.0,500,0.0,0.988,0.0,0.012,35.562535688230625,13.069035384819722,4.49,5.49,57.780541341145835
10,5,3,valid,2,0.1,100.0,10.0,500,0.994,0.0,0.0,0.006,23.639687609093453,12.933901448761125,4.496,5.496,57.857753645833334
10,5,3,invalid,2,0.1,100.0,10.0,500,0.0,0.76,0.0,0.24,489.5077914817338,2000.0,4.494,5.494,57.832016210937496
10,5,3,valid,3,0.1,100.0,10.0,500,0.994,0.0,0.0,0.006,23.65215042603239,13.058393534094403,4.512,5.512,58.063653125
10,5,3,invalid,3,0.1,100.0,10.0,500,0.0,0.0,0.74,0.26,529.1849226670793,2000.0,4.508,5.508,58.01217825520833
10,5,3,valid,0,0.2,100.0,10.0,500,0.934,0.0,0.0,0.066,143.12073010565172,2000.0,3.96,4.96,50.960121093750004
10,5,3,invalid,0,0.2,100.0,10.0,500,0.0,0.95,0.0,0.05,111.22787863374491,13.436309702439338,4.012,5.012,51.62929440104167
10,5,3,valid,2,0.2,100.0,10.0,500,0.94,0.0,0.0,0.06,131.2548383125445,2000.0,3.922,4.922,50.47110983072917
10,5,3,invalid,2,0.2,100.0,10.0,500,0.0,0.516,0.0,0.484,974.4298163663319,2000.0,3.988,4.988,51.320445182291664
10,5,3,valid,3,0.2,100.0,10.0,500,0.922,0.0,0.0,0.078,166.92031284892238,2000.0,3.954,4.954,50.8829087890625
10,5,3,invalid,3,0.2,100.0,10.0,500,0.0,0.0,0.528,0.472,950.5764687809237,2000.0,4.01,5.01,51.60355696614583
10,5,3,valid,0,0.4,100.0,10.0,500,0.682,0.0,0.0,0.318,644.2714469259948,2000.0,2.964,3.964,38.142878515625
10,5,3,invalid,0,0.4,100.0,10.0,500,0.0,0.69,0.0,0.31,628.3969808899708,2000.0,3.008,4.008,38.709102083333335
10,5,3,valid,2,0.4,100.0,10.0,500,0.646,0.0,0.0,0.354,715.8668659953856,2000.0,2.932,3.932,37.73107955729167
10,5,3,invalid,2,0.4,100.0,10.0,500,0.0,0.21,0.0,0.79,1582.6156995551032,2000.0,3.07,4.07,39.50696256510417
10,5,3,valid,3,0.4,100.0,10.0,500,0.686,0.0,0.0,0.314,636.2693875982577,2000.0,3.014,4.014,38.786314388020834
10,5,3,invalid,3,0.4,100.0,10.0,500,0.0,0.0,0.23,0.77,1542.8609111718838,2000.0,3.028,4.028,38.96647643229167
10,5,3,valid,0,0.0,100.0,50.0,500,1.0,0.0,0.0,0.0,51.69584662459417,57.30572555586719,5,6,64.34358723958333
10,5,3,invalid,0,0.0,100.0,50.0,500,0.0,1.0,0.0,0.0,51.43909164308735,57.96444065866923,5,6,64.34358723958333
10,5,3,valid,2,0.0,100.0,50.0,500,1.0,0.0,0.0,0.0,51.47505073383765,57.21990969680547,5,6,64.34358723958333
10,5,3,invalid,2,0.0,100.0,50.0,500,0.0,1.0,0.0,0.0,56.46687954030122,61.042268192763586,5,6,64.34358723958333
10,5,3,valid,3,0.0,100.0,50.0,500,1.0,0.0,0.0,0.0,51.29025154110196,57.637347978858514,5,6,64.34358723958333
10,5,3,invalid,3,0.0,100.0,50.0,500,0.0,0.0,1.0,0.0,56.53039640922062,61.10972980537912,5,6,64.34358723958333
10,5,3,valid,0,0.1,100.0,50.0,500,0.998,0.0,0.0,0.002,56.39061726183403,59.29796785062574,4.566,5.566,58.7585638671875
10,5,3,invalid,0,0.1,100.0,50.0,500,0.0,0.984,0.0,0.016,83.7853738079419,59.87789838598344,4.448,5.448,57.24005520833333
10,5,3,valid,2,0.1,100.0,50.0,500,0.984,0.0,0.0,0.016,84.05920411618732,60.263188759687225,4.4,5.4,56.622356770833335
10,5,3,invalid,2,0.1,100.0,50.0,500,0.0,0.71,0.0,0.29,620.2994271567471,2000.0,4.45,5.45,57.26579264322917
10,5,3,valid,3,0.1,100.0,50.0,500,0.994,0.0,0.0,0.006,64.31786473658958,59.02363071848501,4.532,5.532,58.32102747395833
10,5,3,invalid,3,0.1,100.0,50.0,500,0.0,0.0,0.69,0.31,659.0833690709256,2000.0,4.484,5.484,57.703329036458335
10,5,3,valid,0,0.2,100.0,50.0,500,0.938,0.0,0.0,0.062,174.1353059608257,2000.0,3.98,4.98,51.21749544270833
10,5,3,invalid,0,0.2,100.0,50.0,500,0.0,0.95,0.0,0.05,150.80499249490563,61.24847008284537,3.944,4.944,50.75422161458334
10,5,3,valid,2,0.2,100.0,50.0,500,0.926,0.0,0.0,0.074,197.24016204995115,2000.0,4.03,5.03,51.86093131510417
10,5,3,invalid,2,0.2,100.0,50.0,500,0.0,0.506,0.0,0.494,1016.6360491365843,2000.0,3.97,4.97,51.088808268229165
10,5,3,valid,3,0.2,100.0,50.0,500,0.936,0.0,0.0,0.064,178.1941797189264,2000.0,3.978,4.978,51.1917580078125
10,5,3,invalid,3,0.2,100.0,50.0,500,0.0,0.0,0.522,0.478,985.4158682670803,2000.0,4.038,5.038,51.9638810546875
10,5,3,valid,0,0.4,100.0,50.0,500,0.678,0.0,0.0,0.322,680.9776204962791,2000.0,2.946,3.946,37.9112416015625
10,5,3,invalid,0,0.4,100.0,50.0,500,0.0,0.684,0.0,0.316,669.7139543304985,2000.0,2.972,3.972,38.24582825520834
10,5,3,valid,2,0.4,100.0,50.0,500,0.698,0.0,0.0,0.302,642.6434508403074,2000.0,2.952,3.952,37.98845390625
10,5,3,invalid,2,0.4,100.0,50.0,500,0.0,0.228,0.0,0.772,1556.9120155698488,2000.0,2.998,3.998,38.580414908854166
10,5,3,valid,3,0.4,100.0,50.0,500,0.662,0.0,0.0,0.338,712.6140752104618,2000.0,2.914,3.914,37.499442643229166
10,5,3,invalid,3,0.4,100.0,50.0,500,0.0,0.0,0.242,0.758,1529.830051132526,2000.0,3.072,4.072,39.532700000000006
10,5,3,valid,0,0.0,100.0,100.0,500,1.0,0.0,0.0,0.0,100.56931180088863,112.96516114616824,5,6,64.34358723958333
10,5,3,invalid,0,0.0,100.0,100.0,500,0.0,1.0,0.0,0.0,101.72880290105667,114.7316358389009,5,6,64.34358723958333
10,5,3,valid,2,0.0,100.0,100.0,500,1.0,0.0,0.0,0.0,101.11816243942116,113.71651666765126,5,6,64.34358723958333
10,5,3,invalid,2,0.0,100.0,100.0,500,0.0,1.0,0.0,0.0,111.32583520166467,120.87344649961145,5,6,64.34358723958333
10,5,3,valid,3,0.0,100.0,100.0,500,1.0,0.0,0.0,0.0,101.55145202303356,113.81931774263599,5,6,64.34358723958333
10,5,3,invalid,3,0.0,100.0,100.0,500,0.0,0.0,1.0,0.0,110.81301878824821,120.53333593594934,5,6,64.34358723958333
10,5,3,valid,0,0.1,100.0,100.0,500,0.996,0.0,0.0,0.004,111.04330199822328,117.17770368820413,4.51,5.51,58.037915690104164
10,5,3,invalid,0,0.1,100.0,100.0,500,0.0,0.986,0.0,0.014,129.78759920969674,117.75267726947399,4.472,5.472,57.54890442708333
10,5,3,valid,2,0.1,100.0,100.0,500,0.992,0.0,0.0,0.008,118.19368601509446,117.3727477591597,4.498,5.498,57.883491080729165
10,5,3,invalid,2,0.1,100.0,100.0,500,0.0,0.726,0.0,0.274,629.1058902777211,2000.0,4.498,5.498,57.883491080729165
10,5,3,valid,3,0.1,100.0,100.0,500,0.99,0.0,0.0,0.01,122.3305346681592,117.33461212159844,4.508,5.508,58.01217825520833
10,5,3,invalid,3,0.1,100.0,100.0,500,0.0,0.0,0.732,0.268,617.6346049788715,2000.0,4.536,5.536,58.37250234375
