run_dir,experiment_name,suite,dataset,split,attack_type,seed,malicious_ratio,rounds,final_accuracy,final_asr,chain_verification_rate,tamper_detection_rate,tampered_blocks_detected,tampered_blocks_total,decision_reconstruction_rate,reconstructed_decisions,total_decisions,malicious_suppression_rate,benign_retention_rate,malicious_mean_weight,benign_mean_weight,weight_gap,mean_rejection_precision,mean_rejection_recall,mean_rejection_f1,mean_false_rejection_rate
experiments_b_journal\core_fashionmnist_noniid_backdoor_proposed_s44_20260607_110121,core_fashionmnist_noniid_backdoor_proposed_s44,main,FashionMNIST,Non-IID,backdoor,44,0.2,80,0.0,0.0,1.0,1.0,80,80,1.0,800,800,0.975,0.9734375,0.003250482860616038,0.30007419491199117,0.29682371205137514,0.9041666666666666,0.975,0.9324999999999999,0.0265625
experiments_b_journal\core_fashionmnist_noniid_sign_flip_proposed_s42_20260607_101012,core_fashionmnist_noniid_sign_flip_proposed_s42,main,FashionMNIST,Non-IID,sign_flip,42,0.2,80,0.0,0.0,1.0,1.0,80,80,1.0,800,800,1.0,0.8578125,0.0,0.28307974556822774,0.28307974556822774,0.64375,1.0,0.7816666666666667,0.1421875
experiments_b_journal\core_fashionmnist_noniid_sign_flip_proposed_s43_20260607_101226,core_fashionmnist_noniid_sign_flip_proposed_s43,main,FashionMNIST,Non-IID,sign_flip,43,0.2,80,0.0,0.0,1.0,1.0,80,80,1.0,800,800,1.0,0.8359375,0.0,0.25582662720461447,0.25582662720461447,0.6516666666666666,1.0,0.7772023809523809,0.1640625
experiments_b_journal\core_fashionmnist_noniid_sign_flip_proposed_s44_20260607_101514,core_fashionmnist_noniid_sign_flip_proposed_s44,main,FashionMNIST,Non-IID,sign_flip,44,0.2,80,0.0,0.0,1.0,1.0,80,80,1.0,800,800,1.0,0.875,0.0,0.2752345150752783,0.2752345150752783,0.66875,1.0,0.8008333333333335,0.125
experiments_b_journal\core_ratio_fashionmnist_noniid_adaptive_proposed_r0.1_s42_20260609_130727,core_ratio_fashionmnist_noniid_adaptive_proposed_r0.1_s42,ratio,FashionMNIST,Non-IID,adaptive_scaling,42,0.1,80,0.0,0.0,1.0,1.0,80,80,1.0,800,800,0.0,1.0,0.1322538859127915,0.3312189386659883,0.19896505275319679,0.0,0.0,0.0,0.0
experiments_b_journal\core_ratio_fashionmnist_noniid_adaptive_proposed_r0.1_s43_20260609_130910,core_ratio_fashionmnist_noniid_adaptive_proposed_r0.1_s43,ratio,FashionMNIST,Non-IID,adaptive_scaling,43,0.1,80,0.0,0.0,1.0,1.0,80,80,1.0,800,800,0.0,1.0,0.17618321456820193,0.3067448815578879,0.130561666989686,0.0,0.0,0.0,0.0
experiments_b_journal\core_ratio_fashionmnist_noniid_adaptive_proposed_r0.1_s44_20260609_131049,core_ratio_fashionmnist_noniid_adaptive_proposed_r0.1_s44,ratio,FashionMNIST,Non-IID,adaptive_scaling,44,0.1,80,0.0,0.0,1.0,1.0,80,80,1.0,800,800,0.0,1.0,0.13925434510671686,0.30434685384185894,0.16509250873514209,0.0,0.0,0.0,0.0
experiments_b_journal\core_ratio_fashionmnist_noniid_adaptive_proposed_r0.2_s42_20260609_131225,core_ratio_fashionmnist_noniid_adaptive_proposed_r0.2_s42,ratio,FashionMNIST,Non-IID,adaptive_scaling,42,0.2,80,0.0,0.0,1.0,1.0,80,80,1.0,800,800,0.0,1.0,0.1518483195828722,0.3504377685050814,0.1985894489222092,0.0,0.0,0.0,0.0
experiments_b_journal\core_ratio_fashionmnist_noniid_adaptive_proposed_r0.2_s43_20260609_131403,core_ratio_fashionmnist_noniid_adaptive_proposed_r0.2_s43,ratio,FashionMNIST,Non-IID,adaptive_scaling,43,0.2,80,0.0,0.0,1.0,1.0,80,80,1.0,800,800,0.0,1.0,0.2703268235793184,0.2991388205585848,0.028811996979266397,0.0,0.0,0.0,0.0
experiments_b_journal\core_ratio_fashionmnist_noniid_adaptive_proposed_r0.2_s44_20260609_131541,core_ratio_fashionmnist_noniid_adaptive_proposed_r0.2_s44,ratio,FashionMNIST,Non-IID,adaptive_scaling,44,0.2,80,0.0,0.0,1.0,1.0,80,80,1.0,800,800,0.0,1.0,0.1099674235263429,0.3368303818196078,0.2268629582932649,0.0,0.0,0.0,0.0
experiments_b_journal\core_ratio_fashionmnist_noniid_adaptive_proposed_r0.4_s42_20260609_131720,core_ratio_fashionmnist_noniid_adaptive_proposed_r0.4_s42,ratio,FashionMNIST,Non-IID,adaptive_scaling,42,0.4,80,0.0,0.0,1.0,1.0,80,80,1.0,800,800,0.0,1.0,0.33608963225018024,0.29421223479693476,-0.04187739745324548,0.0,0.0,0.0,0.0
experiments_b_journal\core_ratio_fashionmnist_noniid_adaptive_proposed_r0.4_s43_20260609_131859,core_ratio_fashionmnist_noniid_adaptive_proposed_r0.4_s43,ratio,FashionMNIST,Non-IID,adaptive_scaling,43,0.4,80,0.0,0.0,1.0,1.0,80,80,1.0,800,800,0.0,1.0,0.3011379732905908,0.28936409582758593,-0.011773877463004845,0.0,0.0,0.0,0.0
experiments_b_journal\core_ratio_fashionmnist_noniid_adaptive_proposed_r0.4_s44_20260609_132040,core_ratio_fashionmnist_noniid_adaptive_proposed_r0.4_s44,ratio,FashionMNIST,Non-IID,adaptive_scaling,44,0.4,80,0.0,0.0,1.0,1.0,80,80,1.0,800,800,0.0,1.0,0.3063469615122724,0.2816772646634548,-0.024669696848817646,0.0,0.0,0.0,0.0
