synthetic_clients,validator_count,threshold,bandwidth_mbps,rtt_ms,proposal_kb,finality_record_kb,proposal_tx_ms,vote_tx_ms,network_ms,verification_ms,estimated_finality_ms
20,3,2,50.0,100.0,23.6360546875,0.74033203125,3.8725312,0.121296,203.9938272,2.342191999196075,206.33601919919607
20,3,2,100.0,10.0,23.6360546875,0.74033203125,1.9362656,0.060648,21.9969136,2.342191999196075,24.339105599196074
20,3,2,100.0,50.0,23.6360546875,0.74033203125,1.9362656,0.060648,101.9969136,2.342191999196075,104.33910559919607
20,3,2,100.0,100.0,23.6360546875,0.74033203125,1.9362656,0.060648,201.9969136,2.342191999196075,204.33910559919607
20,5,3,10.0,10.0,23.6360546875,0.97080078125,19.362656,0.79528,40.157936,3.8778479996835813,44.03578399968358
20,5,3,10.0,50.0,23.6360546875,0.97080078125,19.362656,0.79528,120.157936,3.8778479996835813,124.03578399968359
20,5,3,10.0,100.0,23.6360546875,0.97080078125,19.362656,0.79528,220.157936,3.8778479996835813,224.0357839996836
20,5,3,50.0,10.0,23.6360546875,0.97080078125,3.8725312,0.159056,24.0315872,3.8778479996835813,27.909435199683582
20,5,3,50.0,50.0,23.6360546875,0.97080078125,3.8725312,0.159056,104.0315872,3.8778479996835813,107.90943519968359
20,5,3,50.0,100.0,23.6360546875,0.97080078125,3.8725312,0.159056,204.0315872,3.8778479996835813,207.90943519968357
20,5,3,100.0,10.0,23.6360546875,0.97080078125,1.9362656,0.079528,22.0157936,3.8778479996835813,25.89364159968358
20,5,3,100.0,50.0,23.6360546875,0.97080078125,1.9362656,0.079528,102.0157936,3.8778479996835813,105.89364159968358
20,5,3,100.0,100.0,23.6360546875,0.97080078125,1.9362656,0.079528,202.01579360000002,3.8778479996835813,205.8936415996836
20,7,4,10.0,10.0,23.6360546875,1.20126953125,19.362656,0.98408,40.346736,5.3979120013536885,45.74464800135369
20,7,4,10.0,50.0,23.6360546875,1.20126953125,19.362656,0.98408,120.346736,5.3979120013536885,125.7446480013537
20,7,4,10.0,100.0,23.6360546875,1.20126953125,19.362656,0.98408,220.34673600000002,5.3979120013536885,225.7446480013537
20,7,4,50.0,10.0,23.6360546875,1.20126953125,3.8725312,0.196816,24.0693472,5.3979120013536885,29.467259201353688
20,7,4,50.0,50.0,23.6360546875,1.20126953125,3.8725312,0.196816,104.0693472,5.3979120013536885,109.46725920135368
20,7,4,50.0,100.0,23.6360546875,1.20126953125,3.8725312,0.196816,204.0693472,5.3979120013536885,209.4672592013537
20,7,4,100.0,10.0,23.6360546875,1.20126953125,1.9362656,0.098408,22.034673599999998,5.3979120013536885,27.432585601353686
20,7,4,100.0,50.0,23.6360546875,1.20126953125,1.9362656,0.098408,102.0346736,5.3979120013536885,107.4325856013537
20,7,4,100.0,100.0,23.6360546875,1.20126953125,1.9362656,0.098408,202.03467360000002,5.3979120013536885,207.4325856013537
20,9,6,10.0,10.0,23.6360546875,1.43173828125,19.362656,1.17288,40.535536,6.925484000239521,47.46102000023952
20,9,6,10.0,50.0,23.6360546875,1.43173828125,19.362656,1.17288,120.53553600000001,6.925484000239521,127.46102000023953
20,9,6,10.0,100.0,23.6360546875,1.43173828125,19.362656,1.17288,220.535536,6.925484000239521,227.46102000023953
20,9,6,50.0,10.0,23.6360546875,1.43173828125,3.8725312,0.23457599999999998,24.1071072,6.925484000239521,31.032591200239523
20,9,6,50.0,50.0,23.6360546875,1.43173828125,3.8725312,0.23457599999999998,104.1071072,6.925484000239521,111.03259120023952
20,9,6,50.0,100.0,23.6360546875,1.43173828125,3.8725312,0.23457599999999998,204.1071072,6.925484000239521,211.03259120023952
20,9,6,100.0,10.0,23.6360546875,1.43173828125,1.9362656,0.11728799999999999,22.053553599999997,6.925484000239521,28.97903760023952
20,9,6,100.0,50.0,23.6360546875,1.43173828125,1.9362656,0.11728799999999999,102.0535536,6.925484000239521,108.97903760023952
20,9,6,100.0,100.0,23.6360546875,1.43173828125,1.9362656,0.11728799999999999,202.05355360000001,6.925484000239521,208.97903760023954
20,11,7,10.0,10.0,23.6360546875,1.66318359375,19.362656,1.36248,40.725136,8.43999000149779,49.16512600149779
20,11,7,10.0,50.0,23.6360546875,1.66318359375,19.362656,1.36248,120.725136,8.43999000149779,129.1651260014978
20,11,7,10.0,100.0,23.6360546875,1.66318359375,19.362656,1.36248,220.72513600000002,8.43999000149779,229.1651260014978
20,11,7,50.0,10.0,23.6360546875,1.66318359375,3.8725312,0.27249599999999996,24.1450272,8.43999000149779,32.58501720149779
20,11,7,50.0,50.0,23.6360546875,1.66318359375,3.8725312,0.27249599999999996,104.1450272,8.43999000149779,112.58501720149779
20,11,7,50.0,100.0,23.6360546875,1.66318359375,3.8725312,0.27249599999999996,204.1450272,8.43999000149779,212.58501720149778
20,11,7,100.0,10.0,23.6360546875,1.66318359375,1.9362656,0.13624799999999998,22.072513599999997,8.43999000149779,30.512503601497787
20,11,7,100.0,50.0,23.6360546875,1.66318359375,1.9362656,0.13624799999999998,102.0725136,8.43999000149779,110.51250360149778
20,11,7,100.0,100.0,23.6360546875,1.66318359375,1.9362656,0.13624799999999998,202.0725136,8.43999000149779,210.5125036014978
50,3,2,10.0,10.0,56.9088671875,0.74033203125,46.619744,0.60648,67.226224,5.495618001441471,72.72184200144147
50,3,2,10.0,50.0,56.9088671875,0.74033203125,46.619744,0.60648,147.226224,5.495618001441471,152.72184200144147
50,3,2,10.0,100.0,56.9088671875,0.74033203125,46.619744,0.60648,247.226224,5.495618001441471,252.72184200144147
50,3,2,50.0,10.0,56.9088671875,0.74033203125,9.3239488,0.121296,29.4452448,5.495618001441471,34.94086280144147
50,3,2,50.0,50.0,56.9088671875,0.74033203125,9.3239488,0.121296,109.4452448,5.495618001441471,114.94086280144147
50,3,2,50.0,100.0,56.9088671875,0.74033203125,9.3239488,0.121296,209.4452448,5.495618001441471,214.94086280144148
50,3,2,100.0,10.0,56.9088671875,0.74033203125,4.6619744,0.060648,24.7226224,5.495618001441471,30.21824040144147
50,3,2,100.0,50.0,56.9088671875,0.74033203125,4.6619744,0.060648,104.7226224,5.495618001441471,110.21824040144148
50,3,2,100.0,100.0,56.9088671875,0.74033203125,4.6619744,0.060648,204.72262239999998,5.495618001441471,210.21824040144145
50,5,3,10.0,10.0,56.9088671875,0.97080078125,46.619744,0.79528,67.415024,9.122044000541791,76.5370680005418
50,5,3,10.0,50.0,56.9088671875,0.97080078125,46.619744,0.79528,147.415024,9.122044000541791,156.53706800054178
50,5,3,10.0,100.0,56.9088671875,0.97080078125,46.619744,0.79528,247.415024,9.122044000541791,256.5370680005418
50,5,3,50.0,10.0,56.9088671875,0.97080078125,9.3239488,0.159056,29.4830048,9.122044000541791,38.605048800541795
50,5,3,50.0,50.0,56.9088671875,0.97080078125,9.3239488,0.159056,109.4830048,9.122044000541791,118.6050488005418
50,5,3,50.0,100.0,56.9088671875,0.97080078125,9.3239488,0.159056,209.4830048,9.122044000541791,218.6050488005418
50,5,3,100.0,10.0,56.9088671875,0.97080078125,4.6619744,0.079528,24.741502399999998,9.122044000541791,33.86354640054179
50,5,3,100.0,50.0,56.9088671875,0.97080078125,4.6619744,0.079528,104.7415024,9.122044000541791,113.8635464005418
50,5,3,100.0,100.0,56.9088671875,0.97080078125,4.6619744,0.079528,204.7415024,9.122044000541791,213.8635464005418
50,7,4,10.0,10.0,56.9088671875,1.20126953125,46.619744,0.98408,67.603824,12.753159998683259,80.35698399868326
